"filename","x","y","structure","set","new_x","new_y"
"field0001.jpg",904,2325,"KINETOPLAST","train",201,517
"field0001.jpg",864,2272,"NUCLEUS","train",192,505
"field0001.jpg",1769,2234,"KINETOPLAST","train",393,496
"field0001.jpg",2369,1995,"KINETOPLAST","train",526,443
"field0001.jpg",1732,2180,"NUCLEUS","train",385,484
"field0001.jpg",2385,2082,"NUCLEUS","train",530,463
"field0004.jpg",1621,875,"KINETOPLAST_CELL_BODY","train",509,275
"field0004.jpg",1575,851,"NUCLEUS","train",494,267
"field0004.jpg",1444,1238,"KINETOPLAST","train",453,388
"field0004.jpg",1420,1221,"NUCLEUS_CELL_BODY","train",445,383
"field0004.jpg",1180,1424,"KINETOPLAST","train",370,447
"field0004.jpg",1180,1456,"NUCLEUS_CELL_BODY","train",370,457
"field0004.jpg",1039,1796,"NUCLEUS_CELL_BODY","train",326,563
"field0004.jpg",1010,1816,"KINETOPLAST_CELL_BODY","train",317,570
"field0004.jpg",1735,1828,"KINETOPLAST","train",544,573
"field0004.jpg",1738,1765,"NUCLEUS","train",545,554
"field0004.jpg",1930,1709,"KINETOPLAST","train",605,536
"field0004.jpg",1938,1753,"NUCLEUS","train",608,550
"field0004.jpg",1935,2011,"NUCLEUS","train",607,631
"field0004.jpg",1877,1994,"KINETOPLAST","train",589,626
"field0004.jpg",985,2461,"KINETOPLAST","train",309,772
"field0004.jpg",988,2510,"NUCLEUS","train",310,787
"field0004.jpg",1434,2363,"NUCLEUS","train",450,741
"field0004.jpg",1455,2339,"KINETOPLAST","train",456,734
"field0005.jpg",759,1182,"KINETOPLAST","train",238,371
"field0005.jpg",776,1158,"NUCLEUS","train",243,363
"field0005.jpg",1453,1416,"KINETOPLAST","train",456,444
"field0005.jpg",1447,1464,"NUCLEUS","train",454,459
"field0005.jpg",1582,1616,"KINETOPLAST","train",496,507
"field0005.jpg",1560,1634,"NUCLEUS","train",489,513
"field0005.jpg",1301,1717,"NUCLEUS_CELL_BODY","train",408,539
"field0005.jpg",1279,1693,"KINETOPLAST","train",401,531
"field0005.jpg",1980,1858,"KINETOPLAST","train",621,583
"field0005.jpg",2025,1872,"NUCLEUS","train",635,587
"field0005.jpg",1913,2214,"NUCLEUS","train",600,695
"field0005.jpg",509,2257,"KINETOPLAST","train",160,708
"field0005.jpg",464,2271,"NUCLEUS","train",146,712
"field0005.jpg",772,2323,"NUCLEUS","train",242,729
"field0005.jpg",728,2363,"KINETOPLAST","train",228,741
"field0005.jpg",815,2011,"KINETOPLAST","train",256,631
"field0005.jpg",824,1975,"NUCLEUS","train",259,620
"field0005.jpg",850,2742,"KINETOPLAST","train",267,860
"field0005.jpg",808,2760,"NUCLEUS","train",253,866
"field0006.jpg",751,970,"KINETOPLAST","train",236,304
